dataset_name,size_on_rses_gb,rses,on_tape
/ADDmonoPhoton_MD-2_d-4_TuneCP5_13TeV-pythia8/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,4.106259326,"T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Purdue",True
/BBAToZhToLLTauTau_M350_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,64.674416106,"T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Nebraska",True
/BBAToZhToLLTauTau_M400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,62.395046538,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True
/BsToKPi_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v1/MINIAODSIM,200.685082959,"T2_US_UCSD,T2_US_Caltech,T2_US_MIT,T2_IT_Pisa,T2_US_Vanderbilt,T2_UA_KIPT,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_RU_JINR,T1_DE_KIT_Tape,T2_CN_Beijing,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/BulkGravToWWToWhadWhad_narrow_M-500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,36.68726617,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin",True
/BulkGravToZZToZhadZhad_narrow_M-1200_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,59.265876097,"T1_DE_KIT_Tape,T2_FI_HIP,T1_US_FNAL_Disk,T2_US_Wisconsin",True
/BulkGravToZZToZhadZhad_narrow_M-3000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v1/MINIAODSIM,40.337163037,"T2_US_Florida,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Vanderbilt,T2_UA_KIPT,T2_US_Wisconsin",True
/BulkGravToZZToZhadZhad_narrow_M-7500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,51.119300394,"T2_US_Florida,T2_US_UCSD,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin",True
/BulkGraviton_VBF_ZZ_ZlepZhad_narrow_M8000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v2/MINIAODSIM,7.19866377,"T0_CH_CERN_Tape,T2_US_UCSD,T2_US_MIT,T1_US_FNAL_Disk",True
/ChiB0ToY1SPiPi_10p9_TuneCP5_13TeV-pythia8-evtgen/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v1/MINIAODSIM,9.293468482,"T2_US_MIT,T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin",True
