dataset_name,size_on_rses_gb,rses,on_tape
/ParkingBPH1/Run2018D-05May2019promptD-v1/MINIAOD,307371.711851425,"T0_CH_CERN_Tape,T2_US_Caltech,T2_IN_TIFR,T2_US_Nebraska",True
/ParkingBPH4/Run2018D-05May2019promptD-v1/MINIAOD,263689.261672474,"T0_CH_CERN_Tape,T2_IT_Legnaro,T2_US_MIT,T2_US_Caltech",True
/ParkingBPH5/Run2018D-05May2019promptD-v1/MINIAOD,306851.496956854,"T1_US_FNAL_Tape,T2_US_Caltech,T1_US_FNAL_Disk",True
/ParkingBPH3/Run2018D-05May2019promptD-v1/MINIAOD,309133.58709084,"T2_DE_RWTH,T0_CH_CERN_Tape,T2_US_Caltech,T2_ES_CIEMAT,T2_US_Nebraska",True
/ParkingBPH2/Run2018D-05May2019promptD-v1/MINIAOD,312066.239820945,"T0_CH_CERN_Tape,T2_US_Caltech,T1_US_FNAL_Disk",True
